Source,Video Title,URL,Published Date,Transcript Tokens,Transcript Extracted Y/N,Ingestion Status,Last Ingestion Date,Notes
YC YouTube,"Cursor CEO: Going Beyond Code, Superintelligent AI Agents, And Why Taste Still Matters",https://www.youtube.com/watch?v=oOylEw3tPQ8,2025-06-11T14:01:18Z,0,No,Failed,2025-06-13T17:40:03.658236,"Unknown error: no element found: line 1, column 0"
YC YouTube,Powering the Future with Fusion,https://www.youtube.com/watch?v=2Nnz_94fHaQ,2025-06-09T21:26:48Z,0,No,Failed,2025-06-13T17:40:04.727906,"Unknown error: no element found: line 1, column 0"
YC YouTube,Fusion Energy Will Power the AI Boom,https://www.youtube.com/watch?v=XdigD0LOXx0,2025-06-06T14:00:51Z,0,No,Failed,2025-06-13T17:40:05.777080,"Unknown error: no element found: line 1, column 0"
YC YouTube,Many AI apps today are like the horseless carriages of the late 19th century.,https://www.youtube.com/watch?v=c3r2EyhtAFI,2025-06-04T17:24:13Z,0,No,Failed,2025-06-13T17:40:07.036976,"Unknown error: no element found: line 1, column 0"
YC YouTube,"Sometimes, the tech just needs time to catch up.",https://www.youtube.com/watch?v=0FZigBkuj9U,2025-06-02T16:59:47Z,0,No,Failed,2025-06-13T17:40:08.113358,"Unknown error: no element found: line 1, column 0"
YC YouTube,State-Of-The-Art Prompting For AI Agents,https://www.youtube.com/watch?v=DL82mGde6wo,2025-05-30T14:00:19Z,0,No,Failed,2025-06-13T17:40:09.765126,"Unknown error: no element found: line 1, column 0"
YC YouTube,"In the AI era, the playbook is changing.",https://www.youtube.com/watch?v=oxyyBUnhLPI,2025-05-28T17:55:09Z,0,No,Failed,2025-06-13T17:40:10.864485,"Unknown error: no element found: line 1, column 0"
YC YouTube,How To Design Better AI Apps,https://www.youtube.com/watch?v=WJoZK9sMwvw,2025-05-23T14:00:59Z,0,No,Failed,2025-06-13T17:40:12.409221,"Unknown error: no element found: line 1, column 0"
YC YouTube,AI for Personal Finance,https://www.youtube.com/watch?v=-6YQTNlIzbQ,2025-05-20T15:54:59Z,0,No,Failed,2025-06-13T17:40:13.573065,"Unknown error: no element found: line 1, column 0"
YC YouTube,AI Voice Assistants for Email,https://www.youtube.com/watch?v=JNq9eTCi5Xo,2025-05-19T22:46:34Z,0,No,Failed,2025-06-13T17:40:14.624165,"Unknown error: no element found: line 1, column 0"
YC YouTube,Startup Ideas You Can Now Build With AI,https://www.youtube.com/watch?v=K4s6Cgicw_A,2025-05-16T14:00:24Z,0,No,Failed,2025-06-13T17:40:15.668206,"Unknown error: no element found: line 1, column 0"
YC YouTube,Software engineering as we know it will look much different in 5-10 years.,https://www.youtube.com/watch?v=awj6Ez4LAnA,2025-05-15T17:33:53Z,0,No,Failed,2025-06-13T17:40:17.165044,"Unknown error: no element found: line 1, column 0"
YC YouTube,AI for Residential Security,https://www.youtube.com/watch?v=AteajI2KG2w,2025-05-12T19:12:31Z,0,No,Failed,2025-06-13T17:40:18.391076,"Unknown error: no element found: line 1, column 0"
YC YouTube,Healthcare AI,https://www.youtube.com/watch?v=hJ4L9SseAuE,2025-05-12T02:18:56Z,0,No,Failed,2025-06-13T17:40:19.509615,"Unknown error: no element found: line 1, column 0"
